Compound,Rep,sample,EE.adjust.conc,C,N,Nmol.C,Nmol.N
Vitamin B3,210329_Smp_PPL_PS_C,PS,0.012944197934134843,6,1,0.07766518760480906,0.012944197934134843
Vitamin B5,210329_Smp_PPL_Aloha_A,Aloha,0.0037273248558778167,9,1,0.03354592370290035,0.0037273248558778167
Vitamin B5,210329_Smp_PPL_Aloha_B,Aloha,0.0043610350990572495,9,1,0.039249315891515243,0.0043610350990572495
Vitamin B5,210329_Smp_PPL_Aloha_C,Aloha,0.004437152799444935,9,1,0.039934375195004417,0.004437152799444935
Vitamin B5,210329_Smp_PPL_PS_A,PS,0.016233745116864397,9,1,0.14610370605177958,0.016233745116864397
Vitamin B5,210329_Smp_PPL_PS_B,PS,0.01207189116510063,9,1,0.10864702048590567,0.01207189116510063
Vitamin B5,210329_Smp_PPL_PS_C,PS,0.014259971176727127,9,1,0.12833974059054415,0.014259971176727127
Vitamin B6,210329_Smp_PPL_Aloha_A,Aloha,0.015087771587816176,8,1,0.1207021727025294,0.015087771587816176
Vitamin B6,210329_Smp_PPL_Aloha_B,Aloha,0.013246799951626797,8,1,0.10597439961301437,0.013246799951626797
Vitamin B6,210329_Smp_PPL_Aloha_C,Aloha,0.014244714589078326,8,1,0.11395771671262661,0.014244714589078326
Vitamin B6,210329_Smp_PPL_PS_A,PS,0.011523015474349706,8,1,0.09218412379479765,0.011523015474349706
Vitamin B6,210329_Smp_PPL_PS_B,PS,0.014096659222198916,8,1,0.11277327377759133,0.014096659222198916
Vitamin B6,210329_Smp_PPL_PS_C,PS,0.01179194406747423,8,1,0.09433555253979384,0.01179194406747423
Vitamin B9,210329_Smp_PPL_Aloha_A,Aloha,0.017715510743512956,19,7,0.3365947041267462,0.12400857520459069
Vitamin B9,210329_Smp_PPL_Aloha_B,Aloha,0.014170986410244328,19,7,0.26924874179464225,0.09919690487171029
Vitamin B9,210329_Smp_PPL_Aloha_C,Aloha,0.01537147744517894,19,7,0.29205807145839985,0.10760034211625258
Vitamin B9,210329_Smp_PPL_PS_A,PS,0.018469839054095036,19,7,0.35092694202780567,0.12928887337866524
Vitamin B9,210329_Smp_PPL_PS_B,PS,0.014544595660715797,19,7,0.27634731755360015,0.10181216962501058
Vitamin B9,210329_Smp_PPL_PS_C,PS,0.038083604645864126,19,7,0.7235884882714184,0.2665852325210489
Xanthine,210329_Smp_PPL_Aloha_A,Aloha,0.0017787329788803892,5,4,0.008893664894401946,0.007114931915521557
Xanthine,210329_Smp_PPL_Aloha_B,Aloha,0.007390761111733047,5,4,0.03695380555866524,0.02956304444693219
Xanthine,210329_Smp_PPL_Aloha_C,Aloha,0.007869808838265916,5,4,0.03934904419132958,0.03147923535306366
Xanthine,210329_Smp_PPL_PS_A,PS,0.031763284624658945,5,4,0.15881642312329472,0.12705313849863578
Xanthine,210329_Smp_PPL_PS_B,PS,0.004739786800462017,5,4,0.023698934002310088,0.01895914720184807
Xanthine,210329_Smp_PPL_PS_C,PS,0.0338735606440187,5,4,0.1693678032200935,0.1354942425760748
Tryptophan,210329_Smp_Aloha_A,A,9.151884939959656,11,2,100.67073433955622,18.30376987991931
Tryptophan,210329_Smp_Aloha_B,A,5.477932008552049,11,2,60.25725209407254,10.955864017104098
Tryptophan,210329_Smp_Aloha_C,A,13.31006423883191,11,2,146.410706627151,26.62012847766382
Tryptophan,210329_Smp_Mort_Test_A,Mort,0.13238327947395523,11,2,1.4562160742135075,0.26476655894791046
Tryptophan,210329_Smp_Mort_Test_B,Mort,1.240886413626603,11,2,13.649750549892632,2.481772827253206
Tryptophan,210329_Smp_PS_A,PS,4.052645442450051,11,2,44.57909986695056,8.105290884900102
Tryptophan,210329_Smp_PS_B,PS,0.23991639130436318,11,2,2.639080304347995,0.47983278260872636
Tryptophan,210329_Smp_PS_C,PS,3.8204935804001026,11,2,42.02542938440113,7.640987160800205
