Fraction,MF,SampID,Retention_time,mz,QCd_area,method,Station
RP,10035_RP,210329_Smp_PS_C,0.662,372.73761,103258.43364687017,CatEx,PS
RP,10035_RP,210329_Smp_PPL_Aloha_A,0.662,372.73761,50206947.77050153,PPL,A
RP,10035_RP,210329_Smp_PPL_Aloha_B,0.662,372.73761,28675052.222803283,PPL,A
RP,10035_RP,210329_Smp_PPL_Aloha_C,0.662,372.73761,41022566.95985913,PPL,A
RP,10035_RP,210329_Smp_PPL_PS_A,0.662,372.73761,18527768.88443915,PPL,PS
RP,10035_RP,210329_Smp_PPL_PS_B,0.662,372.73761,15015796.35011941,PPL,PS
RP,10035_RP,210329_Smp_PPL_PS_C,0.662,372.73761,20950633.718586106,PPL,PS
HILICPos,1004_HILICPos,210322_Smp_PPL_PS_A,2.249,190.08641,1949980,PPL,PS
HILICPos,1004_HILICPos,210322_Smp_PPL_PS_B,2.249,190.08641,1368120,PPL,PS
HILICPos,1004_HILICPos,210322_Smp_PPL_PS_C,2.249,190.08641,2937492,PPL,PS
RP,10051_RP,210329_Smp_PPL_Aloha_A,5.427,373.23352,13784988,PPL,A
RP,10051_RP,210329_Smp_PPL_Aloha_B,5.427,373.23352,16032624.000000002,PPL,A
RP,10051_RP,210329_Smp_PPL_Aloha_C,5.427,373.23352,17420806,PPL,A
RP,10059_RP,210329_Smp_PS_A,1.282,374.03668,1125930,CatEx,PS
RP,10059_RP,210329_Smp_PS_B,1.282,374.03668,1114964,CatEx,PS
RP,10059_RP,210329_Smp_PS_C,1.282,374.03668,393624,CatEx,PS
HILICNeg,1006_HILICNeg,210322_Smp_PPL_PS_A,2.253,179.07083,4690918,PPL,PS
HILICNeg,1006_HILICNeg,210322_Smp_PPL_PS_B,2.253,179.07083,3468080,PPL,PS
HILICNeg,1006_HILICNeg,210322_Smp_PPL_PS_C,2.253,179.07083,4616220,PPL,PS
RP,10072_RP,210329_Smp_Aloha_A,1.901,374.2388,609458,CatEx,A
RP,10072_RP,210329_Smp_Aloha_B,1.901,374.2388,408646,CatEx,A
RP,10072_RP,210329_Smp_Aloha_C,1.901,374.2388,407456,CatEx,A
RP,10072_RP,210329_Smp_PPL_Aloha_A,1.901,374.2388,12824888,PPL,A
RP,10072_RP,210329_Smp_PPL_Aloha_B,1.901,374.2388,13599644,PPL,A
RP,10072_RP,210329_Smp_PPL_Aloha_C,1.901,374.2388,13499832,PPL,A
RP,10072_RP,210329_Smp_PPL_PS_A,1.901,374.2388,286124,PPL,PS
RP,10072_RP,210329_Smp_PPL_PS_B,1.901,374.2388,334720,PPL,PS
RP,10072_RP,210329_Smp_PPL_PS_C,1.901,374.2388,249116,PPL,PS
RP,10077_RP,210329_Smp_Aloha_A,0.661,374.73465,344534.3430207852,CatEx,A
RP,10077_RP,210329_Smp_Aloha_B,0.661,374.73465,380558.4074567438,CatEx,A
RP,10077_RP,210329_Smp_Aloha_C,0.661,374.73465,8504048.175484039,CatEx,A
RP,10077_RP,210329_Smp_PS_A,0.661,374.73465,1669022.5255101686,CatEx,PS
RP,10077_RP,210329_Smp_PS_B,0.661,374.73465,1963529.083936508,CatEx,PS
RP,10077_RP,210329_Smp_PS_C,0.661,374.73465,63978.82328396107,CatEx,PS
RP,10077_RP,210329_Smp_PPL_Aloha_A,0.661,374.73465,40215834.14465031,PPL,A
RP,10077_RP,210329_Smp_PPL_Aloha_B,0.661,374.73465,23271106.734818205,PPL,A
RP,10077_RP,210329_Smp_PPL_Aloha_C,0.661,374.73465,33679899.918277144,PPL,A
RP,10077_RP,210329_Smp_PPL_PS_A,0.661,374.73465,14878029.328047927,PPL,PS
RP,10077_RP,210329_Smp_PPL_PS_B,0.661,374.73465,12617311.001230985,PPL,PS
RP,10077_RP,210329_Smp_PPL_PS_C,0.661,374.73465,16551015.290997852,PPL,PS
RP,10079_RP,210329_Smp_PPL_Aloha_A,0.664,374.83051,158467.66453745007,PPL,A
RP,10079_RP,210329_Smp_PPL_Aloha_B,0.664,374.83051,750805.4963985414,PPL,A
RP,10079_RP,210329_Smp_PPL_Aloha_C,0.664,374.83051,629831.3478000874,PPL,A
RP,10079_RP,210329_Smp_PPL_PS_A,0.664,374.83051,570847.7881508612,PPL,PS
RP,10079_RP,210329_Smp_PPL_PS_B,0.664,374.83051,839416.2894431899,PPL,PS
RP,10079_RP,210329_Smp_PPL_PS_C,0.664,374.83051,840563.1079942797,PPL,PS
RP,10082_RP,210329_Smp_PPL_Aloha_A,0.808,375.03757,27852130,PPL,A
RP,10082_RP,210329_Smp_PPL_Aloha_B,0.808,375.03757,11128360,PPL,A
RP,10082_RP,210329_Smp_PPL_Aloha_C,0.808,375.03757,25115796,PPL,A
RP,10082_RP,210329_Smp_PPL_PS_A,0.808,375.03757,15376930,PPL,PS
RP,10082_RP,210329_Smp_PPL_PS_B,0.808,375.03757,8248730.000000001,PPL,PS
RP,10082_RP,210329_Smp_PPL_PS_C,0.808,375.03757,17860842,PPL,PS
HILICPos,1011_HILICPos,210322_Smp_Aloha_A,9.233,191.05415,2145963.9098273306,CatEx,A
HILICPos,1011_HILICPos,210322_Smp_Aloha_B,9.233,191.05415,1961575.2897846503,CatEx,A
HILICPos,1011_HILICPos,210322_Smp_Aloha_C,9.233,191.05415,1464835.6643471343,CatEx,A
HILICPos,1011_HILICPos,210322_Smp_PS_A,9.233,191.05415,1972878.219694196,CatEx,PS
HILICPos,1011_HILICPos,210322_Smp_PS_B,9.233,191.05415,2238621.663291665,CatEx,PS
HILICPos,1011_HILICPos,210322_Smp_PS_C,9.233,191.05415,2644546.068101661,CatEx,PS
HILICPos,1012_HILICPos,210322_Smp_PPL_Aloha_A,2.258,191.07039,1577172,PPL,A
HILICPos,1012_HILICPos,210322_Smp_PPL_Aloha_B,2.258,191.07039,1209724,PPL,A
HILICPos,1012_HILICPos,210322_Smp_PPL_Aloha_C,2.258,191.07039,1594000,PPL,A
HILICPos,1012_HILICPos,210322_Smp_PPL_PS_A,2.258,191.07039,2418336,PPL,PS
HILICPos,1012_HILICPos,210322_Smp_PPL_PS_B,2.258,191.07039,2639490,PPL,PS
HILICPos,1012_HILICPos,210322_Smp_PPL_PS_C,2.258,191.07039,3278054,PPL,PS
RP,10131_RP,210329_Smp_Aloha_A,0.662,376.73169,146616.0044025368,CatEx,A
RP,10131_RP,210329_Smp_Aloha_B,0.662,376.73169,155809.50944946246,CatEx,A
RP,10131_RP,210329_Smp_Aloha_C,0.662,376.73169,3654168.8286941694,CatEx,A
RP,10131_RP,210329_Smp_PS_A,0.662,376.73169,701803.8078881234,CatEx,PS
RP,10131_RP,210329_Smp_PS_B,0.662,376.73169,851138.0143981035,CatEx,PS
RP,10131_RP,210329_Smp_PS_C,0.662,376.73169,12131.222615070188,CatEx,PS
RP,10131_RP,210329_Smp_PPL_Aloha_A,0.662,376.73169,16926725.38032823,PPL,A
RP,10131_RP,210329_Smp_PPL_Aloha_B,0.662,376.73169,9653800.71361922,PPL,A
RP,10131_RP,210329_Smp_PPL_Aloha_C,0.662,376.73169,14048034.48045406,PPL,A
RP,10131_RP,210329_Smp_PPL_PS_A,0.662,376.73169,6393897.6104869405,PPL,PS
RP,10131_RP,210329_Smp_PPL_PS_B,0.662,376.73169,5308372.324905843,PPL,PS
RP,10131_RP,210329_Smp_PPL_PS_C,0.662,376.73169,7132971.324032459,PPL,PS
RP,10133_RP,210329_Smp_Aloha_A,0.68,376.84903,32902.96643716028,CatEx,A
RP,10133_RP,210329_Smp_Aloha_B,0.68,376.84903,79319.44980994822,CatEx,A
RP,10133_RP,210329_Smp_Aloha_C,0.68,376.84903,900269.6002093136,CatEx,A
RP,10133_RP,210329_Smp_PPL_PS_A,0.68,376.84903,132457.4925414382,PPL,PS
RP,10133_RP,210329_Smp_PPL_PS_B,0.68,376.84903,914145.3399689592,PPL,PS
RP,10133_RP,210329_Smp_PPL_PS_C,0.68,376.84903,320912.5916604622,PPL,PS
RP,1016_RP,210329_Smp_Aloha_A,0.795,138.05498,45258146.121879146,CatEx,A
RP,1016_RP,210329_Smp_Aloha_B,0.795,138.05498,37691212.589143105,CatEx,A
RP,1016_RP,210329_Smp_Aloha_C,0.795,138.05498,35225657.81681754,CatEx,A
RP,1016_RP,210329_Smp_PS_A,0.795,138.05498,13504770.467825431,CatEx,PS
RP,1016_RP,210329_Smp_PS_B,0.795,138.05498,14947377.994804263,CatEx,PS
RP,1016_RP,210329_Smp_PS_C,0.795,138.05498,14973452.33034304,CatEx,PS
RP,1016_RP,210329_Smp_PPL_Aloha_A,0.795,138.05498,2040659.7153940464,PPL,A
RP,1016_RP,210329_Smp_PPL_Aloha_B,0.795,138.05498,1734266.0634722232,PPL,A
RP,1016_RP,210329_Smp_PPL_Aloha_C,0.795,138.05498,2268163.0386814745,PPL,A
RP,1016_RP,210329_Smp_PPL_PS_A,0.795,138.05498,1371627.2994655855,PPL,PS
RP,1016_RP,210329_Smp_PPL_PS_B,0.795,138.05498,726921.1280554066,PPL,PS
RP,1016_RP,210329_Smp_PPL_PS_C,0.795,138.05498,897623.5906475254,PPL,PS
RP,10166_RP,210329_Smp_PPL_Aloha_A,0.665,378.72876,3883482.7456202186,PPL,A
RP,10166_RP,210329_Smp_PPL_Aloha_B,0.665,378.72876,2298229.7171668224,PPL,A
RP,10166_RP,210329_Smp_PPL_Aloha_C,0.665,378.72876,3322706.6698529734,PPL,A
RP,10166_RP,210329_Smp_PPL_PS_A,0.665,378.72876,1438518.738442753,PPL,PS
RP,10166_RP,210329_Smp_PPL_PS_B,0.665,378.72876,1173869.9729785535,PPL,PS
RP,10166_RP,210329_Smp_PPL_PS_C,0.665,378.72876,1629830.8695624024,PPL,PS
RP,10168_RP,210329_Smp_PPL_Aloha_A,0.692,378.83237,376231.1917849849,PPL,A
RP,10168_RP,210329_Smp_PPL_Aloha_B,0.692,378.83237,54683.84916197801,PPL,A
RP,10168_RP,210329_Smp_PPL_Aloha_C,0.692,378.83237,315051.3386805008,PPL,A
RP,10168_RP,210329_Smp_PPL_PS_A,0.692,378.83237,168519.41794846547,PPL,PS
RP,10168_RP,210329_Smp_PPL_PS_B,0.692,378.83237,174528.19127252878,PPL,PS
RP,10168_RP,210329_Smp_PPL_PS_C,0.692,378.83237,461152.18497041386,PPL,PS
RP,1018_RP,210329_Smp_Aloha_A,0.893,138.05504,30676762.34188215,CatEx,A
RP,1018_RP,210329_Smp_Aloha_B,0.893,138.05504,28347769.914808348,CatEx,A
RP,1018_RP,210329_Smp_Aloha_C,0.893,138.05504,31523123.972091008,CatEx,A
RP,1018_RP,210329_Smp_PS_A,0.893,138.05504,15210630.532136949,CatEx,PS
RP,1018_RP,210329_Smp_PS_B,0.893,138.05504,19166036.64981162,CatEx,PS
RP,1018_RP,210329_Smp_PS_C,0.893,138.05504,21098106.986254796,CatEx,PS
RP,1018_RP,210329_Smp_PPL_Aloha_A,0.893,138.05504,3019935.975781764,PPL,A
RP,1018_RP,210329_Smp_PPL_Aloha_B,0.893,138.05504,3031662.216528441,PPL,A
RP,1018_RP,210329_Smp_PPL_Aloha_C,0.893,138.05504,3278719.6461481783,PPL,A
RP,1018_RP,210329_Smp_PPL_PS_A,0.893,138.05504,2499999.891823635,PPL,PS
RP,1018_RP,210329_Smp_PPL_PS_B,0.893,138.05504,2217957.263990381,PPL,PS
RP,1018_RP,210329_Smp_PPL_PS_C,0.893,138.05504,1170601.229478985,PPL,PS
RP,10184_RP,210329_Smp_Aloha_A,1.805,379.19409,93642.40437012428,CatEx,A
RP,10184_RP,210329_Smp_Aloha_B,1.805,379.19409,72743.5875985493,CatEx,A
RP,10184_RP,210329_Smp_Aloha_C,1.805,379.19409,75303.76359861322,CatEx,A
RP,10184_RP,210329_Smp_PPL_Aloha_A,1.805,379.19409,3293209.0441861595,PPL,A
RP,10184_RP,210329_Smp_PPL_Aloha_B,1.805,379.19409,2781977.4845559997,PPL,A
RP,10184_RP,210329_Smp_PPL_Aloha_C,1.805,379.19409,3202744.295941977,PPL,A
RP,10184_RP,210329_Smp_PPL_PS_A,1.805,379.19409,75106.36801298236,PPL,PS
RP,10184_RP,210329_Smp_PPL_PS_B,1.805,379.19409,75902.23983649908,PPL,PS
RP,10184_RP,210329_Smp_PPL_PS_C,1.805,379.19409,128835.94738377973,PPL,PS
HILICPos,1019_HILICPos,210322_Smp_PPL_Aloha_A,2.264,192.09573,6346108,PPL,A
HILICPos,1019_HILICPos,210322_Smp_PPL_Aloha_B,2.264,192.09573,5145772,PPL,A
HILICPos,1019_HILICPos,210322_Smp_PPL_Aloha_C,2.264,192.09573,9158812,PPL,A
HILICPos,1019_HILICPos,210322_Smp_PPL_PS_A,2.264,192.09573,5186628,PPL,PS
HILICPos,1019_HILICPos,210322_Smp_PPL_PS_B,2.264,192.09573,4478042,PPL,PS
HILICPos,1019_HILICPos,210322_Smp_PPL_PS_C,2.264,192.09573,3405432,PPL,PS
RP,10197_RP,210329_Smp_PPL_Aloha_A,4.913,380.00516,143079.59749498224,PPL,A
RP,10197_RP,210329_Smp_PPL_Aloha_B,4.913,380.00516,181998.5396473528,PPL,A
RP,10197_RP,210329_Smp_PPL_Aloha_C,4.913,380.00516,122401.26680899264,PPL,A
RP,102_RP,210329_Smp_PPL_Aloha_A,2.745,97.06538,466623.4126973121,PPL,A
RP,102_RP,210329_Smp_PPL_Aloha_B,2.745,97.06538,421055.2341549537,PPL,A
RP,102_RP,210329_Smp_PPL_Aloha_C,2.745,97.06538,412620.4754056484,PPL,A
RP,10204_RP,210329_Smp_PPL_PS_A,7.718,380.09537,3591517.9496923047,PPL,PS
RP,10204_RP,210329_Smp_PPL_PS_B,7.718,380.09537,3580743.1139983656,PPL,PS
RP,10204_RP,210329_Smp_PPL_PS_C,7.718,380.09537,3749460.967206724,PPL,PS
RP,1022_RP,210329_Smp_PPL_Aloha_A,5.679,138.08371,833990,PPL,A
RP,1022_RP,210329_Smp_PPL_Aloha_B,5.679,138.08371,584278,PPL,A
RP,1022_RP,210329_Smp_PPL_Aloha_C,5.679,138.08371,683070,PPL,A
RP,10227_RP,210329_Smp_Aloha_A,0.654,380.80362,15854.453585647796,CatEx,A
RP,10227_RP,210329_Smp_Aloha_B,0.654,380.80362,54387.0325469003,CatEx,A
RP,10227_RP,210329_Smp_Aloha_C,0.654,380.80362,294633.6873412299,CatEx,A
RP,10227_RP,210329_Smp_PS_A,0.654,380.80362,124084.14707199768,CatEx,PS
RP,10227_RP,210329_Smp_PS_B,0.654,380.80362,120551.50513287264,CatEx,PS
RP,10227_RP,210329_Smp_PS_C,0.654,380.80362,48497.592479598774,CatEx,PS
RP,10227_RP,210329_Smp_PPL_Aloha_A,0.654,380.80362,142664.17161307082,PPL,A
RP,10227_RP,210329_Smp_PPL_Aloha_B,0.654,380.80362,198227.0535338051,PPL,A
RP,10227_RP,210329_Smp_PPL_Aloha_C,0.654,380.80362,74046.20219082561,PPL,A
RP,10227_RP,210329_Smp_PPL_PS_A,0.654,380.80362,50766.31375137203,PPL,PS
RP,10227_RP,210329_Smp_PPL_PS_B,0.654,380.80362,254262.84133418585,PPL,PS
RP,10227_RP,210329_Smp_PPL_PS_C,0.654,380.80362,627664.0599687516,PPL,PS
RP,10235_RP,210329_Smp_PPL_Aloha_A,4.517,381.13779,139801.5172088154,PPL,A
RP,10235_RP,210329_Smp_PPL_Aloha_B,4.517,381.13779,162220.15824732487,PPL,A
RP,10235_RP,210329_Smp_PPL_Aloha_C,4.517,381.13779,175096.57695248025,PPL,A
RP,10235_RP,210329_Smp_PPL_PS_A,4.517,381.13779,151645.7650335045,PPL,PS
RP,10235_RP,210329_Smp_PPL_PS_B,4.517,381.13779,202231.489951849,PPL,PS
RP,10235_RP,210329_Smp_PPL_PS_C,4.517,381.13779,278796.2991584125,PPL,PS
HILICNeg,1024_HILICNeg,210322_Smp_PPL_PS_A,12.329,181.01378,8548340,PPL,PS
HILICNeg,1024_HILICNeg,210322_Smp_PPL_PS_B,12.329,181.01378,3599558,PPL,PS
HILICNeg,1024_HILICNeg,210322_Smp_PPL_PS_C,12.329,181.01378,6657184,PPL,PS
RP,10254_RP,210329_Smp_PPL_Aloha_A,9.111,382.05728,10464277.523415532,PPL,A
RP,10254_RP,210329_Smp_PPL_Aloha_B,9.111,382.05728,9791629.685468577,PPL,A
RP,10254_RP,210329_Smp_PPL_Aloha_C,9.111,382.05728,10530816.15026232,PPL,A
RP,10254_RP,210329_Smp_PPL_PS_A,9.111,382.05728,9781487.374383343,PPL,PS
RP,10254_RP,210329_Smp_PPL_PS_B,9.111,382.05728,9337290.655713648,PPL,PS
RP,10254_RP,210329_Smp_PPL_PS_C,9.111,382.05728,10962223.52552582,PPL,PS
HILICNeg,1026_HILICNeg,210322_Smp_PPL_PS_A,2.253,181.05022,3842398,PPL,PS
HILICNeg,1026_HILICNeg,210322_Smp_PPL_PS_B,2.253,181.05022,3800396,PPL,PS
HILICNeg,1026_HILICNeg,210322_Smp_PPL_PS_C,2.253,181.05022,2248760,PPL,PS
RP,10264_RP,210329_Smp_Aloha_A,6.12,382.28024,1146356,CatEx,A
RP,10264_RP,210329_Smp_Aloha_B,6.12,382.28024,272080,CatEx,A
RP,10264_RP,210329_Smp_Aloha_C,6.12,382.28024,778506,CatEx,A
RP,10294_RP,210329_Smp_Aloha_A,0.695,383.96161,29929.879477204264,CatEx,A
RP,10294_RP,210329_Smp_Aloha_B,0.695,383.96161,111184.77791278868,CatEx,A
RP,10294_RP,210329_Smp_Aloha_C,0.695,383.96161,149317.98894629482,CatEx,A
RP,10294_RP,210329_Smp_PS_A,0.695,383.96161,103497.21590179668,CatEx,PS
RP,10294_RP,210329_Smp_PS_B,0.695,383.96161,60555.16018086444,CatEx,PS
RP,10294_RP,210329_Smp_PS_C,0.695,383.96161,60581.862567895965,CatEx,PS
RP,10305_RP,210329_Smp_PPL_Aloha_A,2.358,384.22302,3793101.8870103736,PPL,A
RP,10305_RP,210329_Smp_PPL_Aloha_B,2.358,384.22302,3307048.3152274885,PPL,A
RP,10305_RP,210329_Smp_PPL_Aloha_C,2.358,384.22302,3603630.966116499,PPL,A
RP,10307_RP,210329_Smp_PS_A,4.142,384.22342,55740.4787375406,CatEx,PS
RP,10307_RP,210329_Smp_PS_B,4.142,384.22342,83324.89914246999,CatEx,PS
RP,10307_RP,210329_Smp_PS_C,4.142,384.22342,116224.9744708088,CatEx,PS
RP,10307_RP,210329_Smp_PPL_Aloha_A,4.142,384.22342,106487.50106328704,PPL,A
RP,10307_RP,210329_Smp_PPL_Aloha_B,4.142,384.22342,76521.38261529373,PPL,A
RP,10307_RP,210329_Smp_PPL_Aloha_C,4.142,384.22342,110751.12983252067,PPL,A
RP,10307_RP,210329_Smp_PPL_PS_A,4.142,384.22342,104447.99865377488,PPL,PS
RP,10307_RP,210329_Smp_PPL_PS_B,4.142,384.22342,117518.96310380148,PPL,PS
RP,10307_RP,210329_Smp_PPL_PS_C,4.142,384.22342,153267.67688791652,PPL,PS
RP,10310_RP,210329_Smp_Aloha_A,6.046,384.29568,9783432,CatEx,A
RP,10310_RP,210329_Smp_Aloha_B,6.046,384.29568,1114296,CatEx,A
RP,10310_RP,210329_Smp_Aloha_C,6.046,384.29568,6424268,CatEx,A
RP,10310_RP,210329_Smp_PPL_Aloha_A,6.046,384.29568,1645626,PPL,A
RP,10310_RP,210329_Smp_PPL_Aloha_B,6.046,384.29568,2283214,PPL,A
RP,10310_RP,210329_Smp_PPL_Aloha_C,6.046,384.29568,2291040,PPL,A
RP,10310_RP,210329_Smp_PPL_PS_A,6.046,384.29568,2474096,PPL,PS
RP,10310_RP,210329_Smp_PPL_PS_B,6.046,384.29568,3631252,PPL,PS
RP,10310_RP,210329_Smp_PPL_PS_C,6.046,384.29568,3689054,PPL,PS
RP,1032_RP,210329_Smp_Aloha_A,0.763,138.1366,910446.709506472,CatEx,A
RP,1032_RP,210329_Smp_Aloha_B,0.763,138.1366,756571.1160674092,CatEx,A
RP,1032_RP,210329_Smp_Aloha_C,0.763,138.1366,601816.0006957592,CatEx,A
RP,1032_RP,210329_Smp_PS_A,0.763,138.1366,681471.1175271088,CatEx,PS
RP,1032_RP,210329_Smp_PS_B,0.763,138.1366,758355.0922599393,CatEx,PS
RP,1032_RP,210329_Smp_PS_C,0.763,138.1366,617964.4059178736,CatEx,PS
RP,10323_RP,210329_Smp_PPL_Aloha_A,0.946,385.12933,932680,PPL,A
RP,10323_RP,210329_Smp_PPL_Aloha_B,0.946,385.12933,1089378,PPL,A
RP,10323_RP,210329_Smp_PPL_Aloha_C,0.946,385.12933,814676,PPL,A
RP,10323_RP,210329_Smp_PPL_PS_A,0.946,385.12933,886868,PPL,PS
RP,10323_RP,210329_Smp_PPL_PS_B,0.946,385.12933,1058570,PPL,PS
RP,10323_RP,210329_Smp_PPL_PS_C,0.946,385.12933,803740,PPL,PS
RP,10324_RP,210329_Smp_PPL_PS_A,10.481,385.17886,91748.37493577266,PPL,PS
RP,10324_RP,210329_Smp_PPL_PS_B,10.481,385.17886,93247.49353603732,PPL,PS
RP,10324_RP,210329_Smp_PPL_PS_C,10.481,385.17886,117618.7727682136,PPL,PS
RP,10326_RP,210329_Smp_PPL_Aloha_A,2.892,385.20715,1985360.726905176,PPL,A
RP,10326_RP,210329_Smp_PPL_Aloha_B,2.892,385.20715,1824368.7615506465,PPL,A
RP,10326_RP,210329_Smp_PPL_Aloha_C,2.892,385.20715,2105478.287578928,PPL,A
RP,10335_RP,210329_Smp_PPL_Aloha_A,4.618,385.31763,1620532,PPL,A
RP,10335_RP,210329_Smp_PPL_Aloha_B,4.618,385.31763,1643028,PPL,A
RP,10335_RP,210329_Smp_PPL_Aloha_C,4.618,385.31763,1718246,PPL,A
RP,10335_RP,210329_Smp_PPL_PS_A,4.618,385.31763,760632,PPL,PS
RP,10335_RP,210329_Smp_PPL_PS_B,4.618,385.31763,739468,PPL,PS
RP,10335_RP,210329_Smp_PPL_PS_C,4.618,385.31763,733724,PPL,PS
RP,1035_RP,210329_Smp_PPL_PS_A,1.379,138.5547,70590,PPL,PS
RP,1035_RP,210329_Smp_PPL_PS_B,1.379,138.5547,70286,PPL,PS
RP,1035_RP,210329_Smp_PPL_PS_C,1.379,138.5547,90752,PPL,PS
RP,10350_RP,210329_Smp_PPL_Aloha_A,2.169,386.23871,5875122,PPL,A
RP,10350_RP,210329_Smp_PPL_Aloha_B,2.169,386.23871,6612954,PPL,A
RP,10350_RP,210329_Smp_PPL_Aloha_C,2.169,386.23871,7372980,PPL,A
RP,10352_RP,210329_Smp_PPL_Aloha_A,4.14,386.2388,3013482,PPL,A
RP,10352_RP,210329_Smp_PPL_Aloha_B,4.14,386.2388,3545764,PPL,A
RP,10352_RP,210329_Smp_PPL_Aloha_C,4.14,386.2388,3851908,PPL,A
RP,1036_RP,210329_Smp_PPL_Aloha_A,1.083,138.56583,780932.6567329867,PPL,A
RP,1036_RP,210329_Smp_PPL_Aloha_B,1.083,138.56583,295144.5521105549,PPL,A
RP,1036_RP,210329_Smp_PPL_Aloha_C,1.083,138.56583,571431.0058056539,PPL,A
RP,10360_RP,210329_Smp_Aloha_A,0.667,386.71432,404494.20997425105,CatEx,A
RP,10360_RP,210329_Smp_Aloha_B,0.667,386.71432,29909.489524472257,CatEx,A
RP,10360_RP,210329_Smp_Aloha_C,0.667,386.71432,591135.2559168553,CatEx,A
RP,10360_RP,210329_Smp_PPL_Aloha_A,0.667,386.71432,5117216.013384537,PPL,A
RP,10360_RP,210329_Smp_PPL_Aloha_B,0.667,386.71432,2586870.9395878273,PPL,A
RP,10360_RP,210329_Smp_PPL_Aloha_C,0.667,386.71432,3995427.5558693153,PPL,A
RP,10360_RP,210329_Smp_PPL_PS_A,0.667,386.71432,1663791.350474409,PPL,PS
RP,10360_RP,210329_Smp_PPL_PS_B,0.667,386.71432,1193535.153337043,PPL,PS
RP,10360_RP,210329_Smp_PPL_PS_C,0.667,386.71432,1907340.6674906935,PPL,PS
RP,10365_RP,210329_Smp_PPL_PS_A,0.683,386.87775,32429.03445512949,PPL,PS
RP,10365_RP,210329_Smp_PPL_PS_B,0.683,386.87775,422330.3962966452,PPL,PS
RP,10365_RP,210329_Smp_PPL_PS_C,0.683,386.87775,47434.01683180574,PPL,PS
RP,1037_RP,210329_Smp_Aloha_A,0.662,138.90631,2193138.3025774364,CatEx,A
RP,1037_RP,210329_Smp_Aloha_B,0.662,138.90631,1205504.8167396544,CatEx,A
RP,1037_RP,210329_Smp_Aloha_C,0.662,138.90631,8278609.110759196,CatEx,A
RP,1037_RP,210329_Smp_PS_A,0.662,138.90631,2571931.4070308106,CatEx,PS
RP,1037_RP,210329_Smp_PS_B,0.662,138.90631,3093511.934305308,CatEx,PS
