Compound,Sample,Mean Concentration (nM),Standard Deviation of Concentration (nM),Mean Concentration C (nM C),Standard Deviation of Concentration C (nM C),Mean Concentration N (nM N),Standard Deviation of Concentration N (nM N)
Glucosamine,LW,0.275,0.0523,1.65,0.314,0.275,0.0523
Glutamylphenylalanine,Aloha,0.0547,0.0165,0.766,0.231,0.109,0.0330
Glutamylphenylalanine,PS,0.0547,0.0124,0.766,0.173,0.109,0.0247
Glycerophosphocholine,PS,1.39,0.0872,11.1,0.698,1.39,0.0872
Glycine betaine,Aloha,3.11,0.276,15.5,1.38,3.11,0.276
Glycine betaine,NP,2.81,0.0539,14.0,0.270,2.81,0.0539
Glycine betaine,PS,5.20,0.192,26.0,0.962,5.20,0.192
Gonyol,Aloha,0.607,0.0561,4.25,0.393,  NA,  NA
Gonyol,LW,0.857,0.336,6.00,2.35,  NA,  NA
Gonyol,NP,0.363,0.120,2.54,0.842,  NA,  NA
Gonyol,PS,1.47,0.206,10.3,1.44,  NA,  NA
Guanine,Aloha,0.784,0.0667,3.92,0.333,3.92,0.333
Guanine,LW,1.54,0.531,7.72,2.65,7.72,2.65
Guanine,PS,1.02,0.0557,5.12,0.278,5.12,0.278
Homarine,Aloha,1.72,0.197,12.1,1.38,1.72,0.197
Homarine,NP,0.624,0.0174,4.36,0.122,0.624,0.0174
Homarine,PS,1.07,0.00769,7.48,0.0538,1.07,0.00769
Hydroxyisoleucine,Aloha,1.14,0.232,6.84,1.39,1.14,0.232
Hydroxyisoleucine,LW,2.25,0.677,13.5,4.06,2.25,0.677
Hydroxyisoleucine,PS,0.555,0.270,3.33,1.62,0.555,0.270
Hydroxyproline,PS,0.124,0.0433,0.622,0.216,0.124,0.0433
Hypoxanthine,Aloha,0.687,0.117,3.43,0.583,2.75,0.466
Hypoxanthine,LW,1.33,0.538,6.65,2.69,5.32,2.15
L-Alanine,Aloha,16.3,2.04,49.0,6.12,16.3,2.04
L-Alanine,LW,9.19,0.610,27.6,1.83,9.19,0.610
L-Alanine,NP,2.74,0.348,8.22,1.04,2.74,0.348
L-Alanine,PS,7.16,1.03,21.5,3.08,7.16,1.03
L-Asparagine,Aloha,2.19,0.165,8.76,0.659,4.38,0.330
L-Asparagine,LW,1.29,0.178,5.14,0.714,2.57,0.357
L-Aspartic acid,Aloha,6.73,1.27,26.9,5.07,6.73,1.27
L-Aspartic acid,LW,6.08,2.02,24.3,8.10,6.08,2.02
L-Aspartic acid,PS,7.04,4.18,28.1,16.7,7.04,4.18
L-Glutamic acid,Aloha,11.4,1.74,57.0,8.69,11.4,1.74
L-Glutamic acid,LW,5.68,0.428,28.4,2.14,5.68,0.428
L-Glutamic acid,NP,3.20,0.849,16.0,4.25,3.20,0.849
L-Glutamic acid,PS,4.77,0.486,23.8,2.43,4.77,0.486
L-Glutamine,Aloha,1.01,0.0959,5.03,0.479,2.01,0.192
L-Glutamine,LW,0.342,0.0992,1.71,0.496,0.683,0.198
L-Glutamine,NP,0.150,0.0656,0.748,0.328,0.299,0.131
L-Glutamine,PS,0.620,0.0263,3.10,0.132,1.24,0.0526
L-Histidine,Aloha,1.21,0.294,7.23,1.77,3.62,0.883
L-Histidine,LW,2.09,0.117,12.6,0.702,6.28,0.351
L-Homoserine,PS,0.479,0.171,1.92,0.683,0.479,0.171
L-Lysine,Aloha,2.59,0.296,15.6,1.78,5.19,0.592
L-Methionine S-oxide,Aloha,1.38,0.214,6.90,1.07,1.38,0.214
L-Methionine S-oxide,LW,0.303,0.0247,1.52,0.124,0.303,0.0247
L-Methionine S-oxide,PS,0.561,0.171,2.81,0.857,0.561,0.171
L-Ornithine,Aloha,8.27,0.515,41.4,2.58,16.5,1.03
L-Ornithine,LW,8.30,0.927,41.5,4.63,16.6,1.85
L-Phenylalanine,Aloha,0.623,0.141,5.60,1.27,0.623,0.141
L-Phenylalanine,PS,0.556,0.0353,5.00,0.317,0.556,0.0353
L-Proline,Aloha,7.90,0.993,39.5,4.97,7.90,0.993
L-Proline,LW,3.47,0.430,17.4,2.15,3.47,0.430
L-Proline,NP,1.33,0.150,6.65,0.751,1.33,0.150
L-Proline,PS,1.47,0.263,7.33,1.32,1.47,0.263
L-Serine,Aloha,13.5,5.03,40.5,15.1,13.5,5.03
L-Serine,LW,16.6,3.73,49.7,11.2,16.6,3.73
L-Threonine,PS,0.402,0.166,1.61,0.663,0.402,0.166
L-Tyrosine,Aloha,2.41,0.734,21.7,6.60,2.41,0.734
L-Tyrosine,LW,1.54,0.573,13.9,5.16,1.54,0.573
Melamine,Aloha,0.900,0.157,2.70,0.471,5.40,0.942
Melamine,LW,0.499,0.0494,1.50,0.148,3.00,0.297
Melamine,PS,0.552,0.186,1.66,0.557,3.31,1.11
N6-Acetyl-L-lysine,Aloha,0.0852,0.0184,0.681,0.147,0.170,0.0368
N6-Acetyl-L-lysine,LW,0.0491,0.0225,0.393,0.180,0.0982,0.0450
N6-Acetyl-L-lysine,PS,0.0275,0.00939,0.220,0.0751,0.0550,0.0188
N6-Methyladenine,LW,0.0572,0.0324,0.343,0.194,0.286,0.162
N6-Methyladenine,PS,0.0296,0.00968,0.177,0.0581,0.148,0.0484
Proline betaine,Aloha,0.143,0.00811,0.998,0.0567,0.143,0.00811
Proline betaine,NP,0.0312,0.00874,0.218,0.0612,0.0312,0.00874
Proline betaine,PS,0.0499,0.00651,0.350,0.0455,0.0499,0.00651
Sarcosine,Aloha,0.917,0.299,2.75,0.896,0.917,0.299
Sarcosine,NP,1.16,0.375,3.49,1.13,1.16,0.375
Sarcosine,PS,0.543,0.196,1.63,0.587,0.543,0.196
Trigonelline,Aloha,0.968,0.112,6.78,0.782,0.968,0.112
Trigonelline,LW,0.132,0.0551,0.926,0.386,0.132,0.0551
Trigonelline,NP,0.206,0.0526,1.44,0.369,0.206,0.0526
Trigonelline,PS,0.187,0.0223,1.31,0.156,0.187,0.0223
Trimethylamine N-oxide,Aloha,48.5,8.77,146.,26.3,48.5,8.77
Trimethylamine N-oxide,LW,0.886,0.112,2.66,0.337,0.886,0.112
Trimethylamine N-oxide,NP,3.72,0.922,11.2,2.77,3.72,0.922
Trimethylamine N-oxide,PS,2.24,0.160,6.73,0.479,2.24,0.160
Urocanic acid,Aloha,1.59,0.493,9.52,2.96,3.17,0.987
Urocanic acid,LW,1.49,0.381,8.96,2.29,2.99,0.763
Xanthine,Aloha,0.0729,0.0143,0.365,0.0714,0.292,0.0571
Xanthine,PS,0.0922,0.00943,0.461,0.0472,0.369,0.0377
