Compound,Fraction,Sample,Mean EE (%),Standard Deviation of EE (%)
Succinic acid,HILIC Neg,Aloha,12.3,0.976
Succinic acid,HILIC Neg,PS,22.3,0.747
Succinic semialdehyde,HILIC Neg,Aloha,3.47,1.26
Succinic semialdehyde,HILIC Neg,PS,6.78,1.93
Succinylglycine,HILIC Pos,Aloha,2.20,0.233
Succinylglycine,HILIC Pos,PS,4.60,0.113
Sulfanilic acid,HILIC Neg,Aloha,2.45,0.224
Sulfanilic acid,HILIC Neg,PS,3.99,2.03
Thymidine,HILIC Neg,Aloha,66.7,2.81
Thymidine,HILIC Neg,PS,89.4,38.5
Thymine,HILIC Neg,Aloha,60.9,2.54
Thymine,HILIC Neg,PS,86.1,46.1
L-Tyrosine,HILIC Pos,Aloha,36.3,2.15
L-Tyrosine,HILIC Pos,PS,51.1,4.34
Uridine,HILIC Neg,Aloha,29.3,1.50
Uridine,HILIC Neg,PS,29.6,2.65
N-(3-Oxohexanoyl)homoserine lactone,RP,Aloha,80.0,10.6
N-(3-Oxohexanoyl)homoserine lactone,RP,PS,68.0,21.4
N-(3-Oxooctanoyl)homoserine lactone,RP,Aloha,94.4,38.9
N-(3-Oxooctanoyl)homoserine lactone,RP,PS,98.5,10.4
Abscisic acid,RP,Aloha,73.0,7.30
Abscisic acid,RP,PS,73.2,16.3
Acetosyringone,RP,Aloha,50.1,33.3
Acetosyringone,RP,PS,83.1,10.8
Acetovanillone,RP,Aloha,37.1,24.8
Acetovanillone,RP,PS,57.7,2.10
N-Butyryl-L-homoserine lactone,RP,Aloha,93.8,7.46
N-Butyryl-L-homoserine lactone,RP,PS,79.0,16.9
N-Hexanoyl-L-homoserine lactone,RP,Aloha,92.6,10.8
N-Hexanoyl-L-homoserine lactone,RP,PS,81.8,13.2
N-Octanoyl-L-homoserine lactone,RP,Aloha,72.5,44.8
N-Octanoyl-L-homoserine lactone,RP,PS,77.4,12.6
"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid",RP,Aloha,62.5,46.7
"2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid",RP,PS,61.3,10.3
Desthiobiotin,RP,Aloha,76.7,14.6
Desthiobiotin,RP,PS,88.3,14.1
Domoic acid,RP,Aloha,101.,23.6
Domoic acid,RP,PS,101.,11.8
L-Kynurenine,RP,Aloha,46.7,7.41
L-Kynurenine,RP,PS,41.9,2.37
Methylthioadenosine,RP,Aloha,134.,47.4
Methylthioadenosine,RP,PS,139.,25.8
N-(4-Coumaroyl)-L-homoserine lactone,RP,Aloha,90.7,10.1
N-(4-Coumaroyl)-L-homoserine lactone,RP,PS,80.1,16.9
Pyridoxal phosphate,RP,Aloha,42.9,17.3
Pyridoxal phosphate,RP,PS,54.1,24.8
5-(2-Hydroxyethyl)-4-methylthiazole,RP,Aloha,98.1,16.4
5-(2-Hydroxyethyl)-4-methylthiazole,RP,PS,96.3,16.1
Syringaldehyde,RP,Aloha,37.6,26.4
Syringaldehyde,RP,PS,72.3,14.7
Tryptamine,RP,Aloha,22.3,9.95
Tryptamine,RP,PS,41.5,10.5
L-Tryptophan,RP,Aloha,108.,22.3
L-Tryptophan,RP,PS,134.,14.0
Vanillin,RP,Aloha,28.9,17.1
Vanillin,RP,PS,49.7,7.01
Thiamine,RP,Aloha,3.04,1.12
Thiamine,RP,PS,4.44,0.281
Riboflavin,RP,Aloha,80.4,11.7
Riboflavin,RP,PS,79.8,18.6
Nicotinic acid,RP,Aloha,61.8,3.51
Nicotinic acid,RP,PS,92.8,40.2
Pantothenic acid,RP,Aloha,68.1,8.90
Pantothenic acid,RP,PS,77.8,13.9
Pyridoxine,RP,Aloha,57.0,9.79
Pyridoxine,RP,PS,91.5,30.0
Biotin,RP,Aloha,77.9,18.4
Biotin,RP,PS,86.3,13.9
Folic acid,RP,Aloha,68.8,8.54
Folic acid,RP,PS,63.8,11.0
Xanthine,RP,Aloha,2.81,0.387
Xanthine,RP,PS,7.17,0.529
