Compound,Fraction,Extraction Efficiency (%),RSD of EE (%),R2,LOD (nM)
Dimethylsulfoniopropionate,HILIC Pos,60.20464447789145,16.575818660087783,0.9733629273209052,1.518234864301335e-4
Ectoine,HILIC Pos,51.95468813405515,15.010281480309803,0.9903037560241812,0.03208988346131313
Glucosamine,HILIC Pos,52.879580641493995,13.250595580471543,0.9875783927070207,0.27124425764368626
L-Glutamic acid,HILIC Pos,61.18381398753714,7.244231591529765,0.8496279175219306,2.2822382792685425
L-Glutamine,HILIC Pos,147.50213239313538,18.48692531032731,0.9880029012461962,0.02974967154083808
Glutamylphenylalanine,HILIC Pos,31.670560477150666,21.102567206889148,0.9227608137289044,0.01745254772714723
Glycerophosphoric acid,HILIC Neg,3.621222907291009,17.643794126702026,0.8370700534190642,0.7813227183995075
Glycerophosphocholine,HILIC Pos,2.4544348189514227,31.435138842390753,0.9312080142819026,0.32713795816286995
Gonyol,HILIC Pos,83.4518389629049,19.864276878200616,0.9739098149252648,0.2377809175526816
Guanine,HILIC Pos,52.540696593560185,26.21789908863519,0.9546905706306968,0.4039658671499831
Guanosine,HILIC Pos,15.142073762527437,36.31159845563257,0.9516710004800089,0.24403384283628457
L-Histidine,HILIC Pos,32.88488728904214,22.71432502155703,0.9685691404463804,0.8218719588088226
Homarine,HILIC Pos,52.005297977542426,15.730712149354847,0.9950755191584624,0.20468190873321315
L-Homoserine,HILIC Pos,81.03609870551799,13.071979901125012,0.9862794824750398,0.20979262866759849
Hordenine,HILIC Pos,8.532736344760776,46.622340186601576,0.7317697011926408,0.07016937886399248
5-Hydroxyectoine,HILIC Pos,55.176053728691194,14.506635530177908,0.993625377336304,0.00852249168399221
L-Hydroxylysine,HILIC Pos,29.808280303220272,12.896034104780028,0.7323607986066704,0.00409233422713556
Hypoxanthine,HILIC Pos,66.39144757643935,20.03765733442876,0.9777719466722324,0.5231249948206235
Indole-3-acetic acid,RP,16.771931732537546,42.02943592034718,0.7953100573546106,0.3162472237333559
Urocanic acid,HILIC Neg,67.97188691503729,3.695332148570477,0.9389966432028682,0.899078852415075
Inosine,HILIC Neg,42.53352383388054,30.00596133023358,0.9501048200770464,0.02276394317211933
5-Oxoproline,HILIC Neg,14.08630785399354,36.110962231980174,0.9123541520865144,19.83635364360575
L-Lysine,HILIC Pos,60.81842136423941,25.526036597632903,0.8884818806167956,1.7655955744234435
Melamine,HILIC Pos,68.71052873954798,15.53927114661671,0.9747900913335842,0.4285860491216512
L-Methionine S-oxide,HILIC Pos,77.80729392516591,18.046182437143628,0.9731325453656048,0.19117647516354477
O-Methylmalonyl-L-carnitine,HILIC Pos,53.544970424024555,18.551107732962144,0.9889604132882804,0.00749513847208231
Muramic acid,HILIC Pos,17.7385171415745,27.898601841739467,0.968245032528028,0.056263027356497707
N6-Acetyl-L-lysine,HILIC Pos,42.86529601392928,30.508358509541083,0.983616686998494,0.01832921319537517
Ophthalmic acid,HILIC Pos,27.676353567597307,30.56313452334645,0.9591498040604028,0.02712366586634694
L-Ornithine,HILIC Pos,29.69375447902493,17.92502269661534,0.9066392880115668,7.440764499532442
L-Phenylalanine,RP,136.14557489556418,27.540369683647164,0.9144090320794582,0.22981176166447195
L-Proline,HILIC Pos,106.6418122131943,23.210300965444617,0.9837792389890616,0.5796792749153347
Pyridoxamine,RP,48.080977408535,35.220797409015894,0.7408054770265595,0.12882035625416793
Riboflavin-5-phosphate,HILIC Pos,1.1876981182618886,31.977081947225024,0.7791147750641038,1.0944710646719709
Salicylic acid,HILIC Neg,9.19127374171454,23.2901798978359,0.9132630697384928,21.416633386233915
Sarcosine,HILIC Pos,42.8293232338472,18.10170030390518,0.9681471487670584,0.39333570569322346
L-Serine,HILIC Pos,40.01023515782422,41.42602223131833,0.9187598679645276,4.809996593580765
Proline betaine,HILIC Pos,67.04146465317855,18.40848303794697,0.9848196722912824,0.02717308272974112
L-Threonine,HILIC Pos,60.94010939694396,22.26388982099799,0.9420769048085712,0.2451866029696059
Hydroxyproline,HILIC Pos,58.486196709445075,23.55520723243628,0.965126594946172,0.04635814038056137
Trigonelline,HILIC Pos,60.91475653735215,18.52195049030475,0.9873442623229294,0.06604906665781647
Trimethylamine N-oxide,HILIC Pos,67.25174780037251,28.260544618761863,0.9459829152310988,0.1448905533447492
beta-Alaninebetaine,HILIC Pos,73.66520176835691,16.036837449364285,0.9907509191277808,0.01693989332463342
L-Tyrosine,HILIC Pos,31.868824296736957,35.19548225460276,0.9376391090388956,1.0222273620903373
Vanillic acid,RP,33.35750909608073,22.396897188918786,0.8218530740831732,4.773946111458436
Nicotinic acid,RP,98.16002510395532,17.162423020237295,0.8939266588257165,1.536107628686621
Xanthine,RP,77.63861233603258,24.843848295763888,0.9653332139348058,0.06506152032793709
